CAMIS,DBA,AIRPORT,BUILDING,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESCRIPTION,CRITICAL_FLAG,SCORE,GRADE,GRADE_DATE,RECORD_DATE,INSPECTION_TYPE
40668380,WOLF AND LAMB,ABE,10,Steak,12/16/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,12/16/2014,8/28/2017,Cycle Inspection / Re-inspection
50060117,KBBQ,ABE,672,Korean,6/26/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,6/26/2017,8/28/2017,Pre-permit (Operational) / Initial Inspection
41427683,HUDSON'S MARKET @ SHERATON NEW YORK,ABE,811,American,4/2/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,11,A,4/2/2015,8/28/2017,Cycle Inspection / Initial Inspection
41454995,MANOLO TAPAS RESTAURANT,ABE,4161,Tapas,1/21/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,17,B,1/21/2016,8/28/2017,Cycle Inspection / Re-inspection
41278299,LEMON LEAVES,ABE,55,Chinese/Japanese,8/24/2016,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,11,A,8/24/2016,8/28/2017,Cycle Inspection / Re-inspection
40782999,WENDY'S,ABE,26,Hamburgers,2/23/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,2/23/2017,8/28/2017,Cycle Inspection / Initial Inspection
50003451,CHINA AAA,ABE,8210,Chinese,12/5/2013,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,22,B,12/5/2013,8/28/2017,Pre-permit (Operational) / Re-inspection
41411901,GULLUOGLU BAKLAVA & CAFE,ABE,982,Turkish,5/27/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,5/27/2015,8/28/2017,Cycle Inspection / Re-inspection
41708433,CHINA WOK II,ABE,10315,Chinese,8/16/2017,Establishment re-opened by DOHMH,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,Z,8/16/2017,8/28/2017,Cycle Inspection / Reopening Inspection
41179165,BROOK AVENUE DELI & PIZZA,ABE,348,Pizza,8/2/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,8/2/2017,8/28/2017,Cycle Inspection / Initial Inspection
40602855,STARBUCKS,ABE,462,CafÃ©/Coffee/Tea,11/9/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,11/9/2015,8/28/2017,Cycle Inspection / Initial Inspection
41363184,BEAN N BEAN,ABE,71,American,4/1/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,4/1/2016,8/28/2017,Cycle Inspection / Initial Inspection
41010981,THE BROOKLYN TABERNACLE,ABE,17,American,6/24/2014,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,6/24/2014,8/28/2017,Cycle Inspection / Re-inspection
50046939,ARMANDO'S PIZZA,ABE,5119,Pizza,6/3/2017,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,6/3/2017,8/28/2017,Cycle Inspection / Initial Inspection
41284638,MCDONALD'S,ABE,145,Hamburgers,4/6/2017,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,5,A,4/6/2017,8/28/2017,Cycle Inspection / Initial Inspection
50064086,Little Italy,ABE,180,Italian,7/5/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,B,7/5/2017,8/28/2017,Pre-permit (Operational) / Re-inspection
50019199,TOKYO BAY,ABE,611,Japanese,3/7/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,3/7/2016,8/28/2017,Cycle Inspection / Re-inspection
41083735,PLAZA TULCINGO RESTAURANT,ABE,10,Mexican,9/8/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,33,C,9/8/2016,8/28/2017,Cycle Inspection / Re-inspection
50014239,HUNGRY BIRD,ABE,980,Indian,11/4/2015,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,10,A,11/4/2015,8/28/2017,Cycle Inspection / Re-inspection
41590345,TWO DOOR TAVERN,ABE,116,American,1/14/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,1/14/2016,8/28/2017,Cycle Inspection / Re-inspection
50005674,Daisy's Diner,ABE,452,American,2/3/2015,Violations were cited in the following area(s).,03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,20,B,2/3/2015,8/28/2017,Cycle Inspection / Re-inspection
41117050,28 NOODLES,ABE,417,Chinese,6/12/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/12/2015,8/28/2017,Cycle Inspection / Initial Inspection
40581917,EMPORIUM BRASIL RESTAURANT,ABE,15,Brazilian,9/24/2015,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,9/24/2015,8/28/2017,Cycle Inspection / Initial Inspection
50054588,THE JUILLIARD SCHOOL(ROSE CAFE),ABE,165,American,10/21/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,10/21/2016,8/28/2017,Pre-permit (Operational) / Initial Inspection
41717500,JOE'S PIZZA,ABE,150,Pizza,12/17/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,B,12/17/2015,8/28/2017,Cycle Inspection / Re-inspection
41567437,ANGELA'S BAKERY,ABE,717,Bakery,5/18/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,5/18/2017,8/28/2017,Cycle Inspection / Re-inspection
41113515,FORTUNATA'S II,ABE,305,Pizza,11/16/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,11/16/2015,8/28/2017,Cycle Inspection / Re-inspection
41346473,GOOD TO GO,ABE,1894,Italian,12/17/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,12/17/2015,8/28/2017,Cycle Inspection / Re-inspection
41669919,SALAD SHACK,ABE,15405,Salads,2/7/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2/7/2017,8/28/2017,Cycle Inspection / Initial Inspection
50061410,PIZZA SHACK,ABE,525,Pizza,5/5/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,5/5/2017,8/28/2017,Pre-permit (Operational) / Re-inspection
41661174,V {iv} Thai Restaurant & Bar,ABE,138,Thai,4/2/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,18,B,4/2/2015,8/28/2017,Cycle Inspection / Re-inspection
50034670,JOHNNY'S GRILL,ABE,9406,American,4/27/2015,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,8,A,4/27/2015,8/28/2017,Pre-permit (Operational) / Initial Inspection
40927789,THE BAYHOUSE,ABE,500,American,7/22/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,A,7/22/2017,8/28/2017,Cycle Inspection / Initial Inspection
40623604,GOOD ENOUGH TO EAT (A.G. BISTRO),ABE,520,American,1/30/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,33,C,1/30/2015,8/28/2017,Cycle Inspection / Re-inspection
41574708,PRONTO RESTAURANT,ABE,3297,Pizza/Italian,11/7/2013,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,11/7/2013,8/28/2017,Cycle Inspection / Initial Inspection
41253406,PUNJABI INDIAN & AMERICAN RESTAURANT,ABE,16020,Indian,3/15/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,9,A,3/15/2017,8/28/2017,Cycle Inspection / Initial Inspection
40612120,STARBUCKS,ABE,21529,CafÃ©/Coffee/Tea,10/22/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,10/22/2014,8/28/2017,Cycle Inspection / Initial Inspection
50003915,BOCAITO CAFE & WINE BAR,ABE,8115,Spanish,2/28/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,2/28/2017,8/28/2017,Cycle Inspection / Initial Inspection
41383631,DUNKIN' DONUTS,ABE,130,Donuts,3/6/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,3/6/2017,8/28/2017,Cycle Inspection / Initial Inspection
41259230,INDO-PAK HALAL RESTAURANT,ABE,2173,Pakistani,5/22/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,5/22/2015,8/28/2017,Cycle Inspection / Initial Inspection
50001889,UMAMI BURGER,ABE,432,Hamburgers,6/1/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,9,A,6/1/2017,8/28/2017,Cycle Inspection / Initial Inspection
41644326,2 WEST RESTAURANT,ABE,2,American,9/12/2014,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,9/12/2014,8/28/2017,Cycle Inspection / Initial Inspection
41059709,"DUNKIN' DONUTS, BASKIN ROBBINS",ABE,46,Donuts,10/27/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,10/27/2016,8/28/2017,Cycle Inspection / Initial Inspection
41609414,PRIME SANDWICH,ABE,377,Jewish/Kosher,12/29/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,12/29/2014,8/28/2017,Cycle Inspection / Initial Inspection
41417952,COFFEE SPOT CAFE,ABE,1617,Russian,12/30/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,12/30/2015,8/28/2017,Cycle Inspection / Initial Inspection
40736383,MCDONALD'S,ABE,2141,Hamburgers,7/26/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,B,7/26/2014,8/28/2017,Cycle Inspection / Re-inspection
50059979,SHANGHAI FAMILY DUMPLING,ABE,6301,Chinese,7/6/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,7/6/2017,8/28/2017,Cycle Inspection / Initial Inspection
50010344,ESTRELLA MEXICANA RESTAURANT,ABE,106,Mexican,10/16/2015,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,10,A,10/16/2015,8/28/2017,Cycle Inspection / Re-inspection
50017981,PHO THANH HOAI 1,ABE,73,Vietnamese/Cambodian/Malaysia,4/16/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,7,A,4/16/2015,8/28/2017,Cycle Inspection / Re-inspection
41092640,CMOLOVAR,ABE,813,Russian,5/23/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,5/23/2015,8/28/2017,Cycle Inspection / Re-inspection
40971873,BREAK BAR & BILLARDS,ABE,3208,American,11/10/2015,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,9,A,11/10/2015,8/28/2017,Cycle Inspection / Initial Inspection
50017985,BREAD AND SPREAD,ABE,147,American,3/31/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,7,A,3/31/2015,8/28/2017,Cycle Inspection / Initial Inspection
40385852,SAM'S PLACE,ABE,132,Italian,2/21/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/21/2017,8/28/2017,Cycle Inspection / Re-inspection
40574423,TOPAZE RESTAURANT,ABE,428,Caribbean,8/27/2013,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,20,B,8/27/2013,8/28/2017,Cycle Inspection / Re-inspection
41634367,PORTALIA RISTORANTE BAR AND LOUNGE,ABE,3503,Italian,2/5/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,2/5/2016,8/28/2017,Cycle Inspection / Initial Inspection
40715826,PIZZA HUT,ABE,6051,Pizza,3/8/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,3/8/2016,8/28/2017,Cycle Inspection / Initial Inspection
50000223,EL MANABA RESTAURANT,ABE,341,Spanish,4/18/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,4/18/2017,8/28/2017,Cycle Inspection / Initial Inspection
50005885,APNA MASALA INDIAN CUISINE,ABE,344,Mexican,5/3/2017,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,7,A,5/3/2017,8/28/2017,Cycle Inspection / Re-inspection
50032620,BAREBURGER,ABE,4819,Hamburgers,3/25/2015,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,10,A,3/25/2015,8/28/2017,Pre-permit (Operational) / Initial Inspection
41076471,CHINAR ON THE ISLAND,ABE,283,Russian,12/1/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,12/1/2015,8/28/2017,Cycle Inspection / Re-inspection
41334692,PANCHO VILLA RESTAURANT,ABE,2274,Mexican,12/1/2016,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,42,C,12/1/2016,8/28/2017,Cycle Inspection / Re-inspection
50017821,KING DRAGON CITY,ABE,944A,Chinese,7/1/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,7/1/2015,8/28/2017,Cycle Inspection / Initial Inspection
50004782,Polpette,ABE,483,Italian,9/12/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,B,9/12/2014,8/28/2017,Pre-permit (Operational) / Re-inspection
40918262,FRIEND'S PIZZA CAFE,ABE,487,Pizza,1/26/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,B,1/26/2017,8/28/2017,Cycle Inspection / Re-inspection
40624802,CAFFE BUON GUSTO,ABE,151,Italian,11/18/2013,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,11/18/2013,8/28/2017,Cycle Inspection / Re-inspection
50001621,MR. CHAN'S CHINESE CUISINE,ABE,30-21,Chinese,9/10/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,9/10/2015,8/28/2017,Cycle Inspection / Re-inspection
50015344,ROOM SERVICE,ABE,690,Thai,9/23/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,5,A,9/23/2015,8/28/2017,Cycle Inspection / Re-inspection
50033747,DIG INN,ABE,16,American,2/4/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,2/4/2016,8/28/2017,Cycle Inspection / Initial Inspection
50034176,PRET A MANGER,ABE,1,Sandwiches/Salads/Mixed Buffet,6/10/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,7,A,6/10/2016,8/28/2017,Cycle Inspection / Initial Inspection
41057755,BAROSA BRICK OVEN,ABE,6229,Italian,4/30/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,4/30/2014,8/28/2017,Cycle Inspection / Initial Inspection
50002676,JAMBA JUICE,ABE,NKA,Sandwiches/Salads/Mixed Buffet,9/29/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,9/29/2016,8/28/2017,Cycle Inspection / Initial Inspection
41362413,AERONUOVA,ABE,0,American,12/15/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/15/2015,8/28/2017,Cycle Inspection / Initial Inspection
41502571,CHIFA RESTAURANT,ABE,7320,Peruvian,2/27/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,14,B,2/27/2017,8/28/2017,Cycle Inspection / Re-inspection
50043899,FRESH SOFT TORTILLA,ABE,3115,Tex-Mex,7/1/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,7/1/2016,8/28/2017,Cycle Inspection / Initial Inspection
